,tot,atl,ind,pac,arc,sou,str,una
2010,-7.95E-03,-2.21E-02,-5.33E-03,9.88E-02,-4.95E-02,0.00E+00,-1.87E-03,-2.79E-02
2011,8.34E-04,-1.99E-02,-5.23E-03,1.05E-01,-4.83E-02,-1.35E-08,-1.76E-03,-2.87E-02
2012,0.0187501,-0.01810581,-0.00402309,0.11109916,-4.68E-02,0,-0.00150593,-0.02191249
2013,0.01983359,-0.02066921,-0.00470113,0.11931912,-4.89E-02,0,-0.00160692,-0.02356871
2014,0.01064225,-0.01972511,-0.00495989,0.10932869,-4.81E-02,0.00E+00,-1.67E-03,-2.42E-02
mean,8.42E-03,-2.01E-02,-4.85E-03,1.09E-01,-4.83E-02,-2.70E-09,-1.68E-03,-2.53E-02
