,tot,atl,ind,pac,arc,sou
2010,-2.70E-04,0.00E+00,0.00E+00,1.32E-04,-4.02E-04,0.00E+00
2011,-1.80E-04,0.00E+00,0.00E+00,1.78E-04,-3.59E-04,0.00E+00
2012,-2.15E-04,0.00E+00,0.00E+00,1.17E-04,-3.33E-04,0.00E+00
2013,-1.62E-04,0.00E+00,0.00E+00,1.29E-04,-2.91E-04,0.00E+00
2014,-2.47E-04,0.00E+00,0.00E+00,9.81E-05,-3.45E-04,0.00E+00
mean,-2.15E-04,0.00E+00,0.00E+00,1.31E-04,-3.46E-04,0.00E+00
