Total Atlantic Indian Pacific Arctic Southern
-2.270329024067644641e-01 -4.035439604463096908e-01 1.426691925851901336e-03 1.402744266271781504e-01 8.932774005627734811e-05 -1.326138975294148428e-04 3.485449151346581807e-03 3.136838249737115142e-02
-1.259448023839750963e-01 -3.303606136597497245e-01 2.210551185005087040e-03 1.534937898214710217e-01 4.671819697308530160e-04 -1.979810754117416441e-04 4.157430547231987308e-03 4.428454259106377050e-02
-1.646201735394686172e-01 -3.573995450661969220e-01 2.939919305643026119e-03 1.447369384892233657e-01 1.045060834520487435e-03 -4.537657101304270264e-04 4.360361802033208174e-03 4.015118286428477623e-02
-1.238749104137684548e-01 -3.090855324984749797e-01 2.991354343178489854e-03 1.407437948844072195e-01 1.639792716411522496e-03 -6.650561103643070184e-04 4.425904361172358983e-03 3.607468346278299570e-02
-1.541644672612786926e-01 -3.217165745882199501e-01 1.640720031899388105e-03 1.360371138617900155e-01 2.197746177662568239e-03 -7.400174695734956874e-04 3.906236134344880269e-03 2.451030859081788221e-02
-2.277218244068300312e-01 -3.880530009618528564e-01 9.281457079788476509e-04 1.448614084090013854e-01 3.224667474478584532e-03 -3.599199221455388507e-04 4.087747065286392693e-03 7.589877134430662864e-03
-4.174473065444759823e-01 -5.078831529280832813e-01 1.632510888715914819e-04 1.026323313445993979e-01 3.247338342243152876e-03 -9.323343785878452587e-04 2.642485126968360278e-03 -1.731722514048745706e-02
-3.316386479549140454e-01 -4.205564858055192978e-01 9.279666899662058989e-05 1.076892516486784163e-01 1.830718499068749493e-03 -1.183791543821291394e-03 2.439326583470086390e-03 -2.195272988773868533e-02
-1.840905845495006132e-01 -3.198170458353189471e-01 4.391445083523740122e-04 1.501957834302312389e-01 1.594245002332934837e-03 -8.728562147906172375e-04 2.648995939979260136e-03 -1.827885138028685283e-02
-9.542852129909737413e-02 -2.862699378165455832e-01 7.810786649274243645e-04 1.735255126068863674e-01 7.473673963234309710e-04 -6.783130180902188257e-04 3.079214531828301273e-03 1.338688819168074549e-02
-1.560307498961975570e-01 -3.569976236633422562e-01 1.002643281984218855e-03 1.652331164103372774e-01 3.932514986500506193e-04 -7.119041874194409350e-04 3.520150769810052177e-03 3.152961599378260177e-02
-1.989454664813235518e-01 -3.952931058334958614e-01 1.055360531492951625e-03 1.626420243295672863e-01 1.747678707096081353e-04 -2.172717416693289527e-04 3.510513945233469015e-03 2.918086271040802940e-02
