2012,,,,,,,,,,,,
,Americas,,,,Africa,,,,East Asia,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean ,corr,mean,corr,mean,corr,mean,corr
total,-0.221,1,0.959,1,-0.075,1,1.157,1,0.156,1,1.49,1
Atlantic,-0.425,0.92,0.565,0.83,0.239,0.77,0.434,0.71,0.008,-0.07,0.011,0.03
Indian,0.001,0.36,0.002,-0.15,-0.358,0.84,0.559,0.62,0.449,0.94,0.711,0.78
Pacific,0.191,0.7,0.291,0.18,0.005,0.44,0.012,0.12,-0.31,0.83,0.634,0.37
Arctic,0.003,0.27,0.005,0.04,0,0.13,0.002,-0.19,0.004,0.4,0.006,0.22
Southern,0,0.03,0.002,-0.03,0.006,0.32,0.019,0,-0.002,0.3,0.015,-0.1
Stratosphere,0.003,0.42,0.004,-0.08,0.002,0.19,0.003,0.25,0.001,-0.26,0.001,-0.04
No origin,0.006,0.49,0.089,0.46,0.031,0.49,0.127,0.61,0.006,0.19,0.112,0.28
,,,,,,,,,,,,
,,,,,,,,,,,,
,Arctic Atlantic,,,,Arctic Indian,,,,Arctic Pacific,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr
total,0.113,1,0.822,1,0.026,1,0.282,1,0.026,1,0.724,1
Atlantic,0.214,0.6,0.428,0.92,0.011,0.6,0.036,0.29,-0.013,0.23,0.041,0.05
Indian,0.001,0.17,0.011,0.16,0.066,0.71,0.105,0.83,-0.003,0.01,0.009,0.53
Pacific,-0.026,0.35,0.081,0.21,0.001,0.47,0.004,0.16,0.152,0.58,0.318,0.96
Arctic,-0.086,0.25,0.177,0.86,-0.061,0.69,0.087,0.41,-0.105,0.29,0.254,0.95
Southern,0,nan,0,nan,0,0.01,0,-0.01,0,nan,0,nan
Stratosphere,0.002,0.39,0.017,0.67,0.001,0.46,0.005,0.07,-0.001,0.44,0.016,0.78
No origin,0.008,0.41,0.108,0.73,0.008,0.58,0.045,0.41,-0.004,0.41,0.088,0.6
,,,,,,,,,,,,
,,,,,,,,,,,,
,Southern Atlantic,,,,Southern Indian,,,,Southern Pacific,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr
total,-0.191,1,1.423,1,-0.283,1,1.303,1,-0.359,1,1.601,1
Atlantic,-0.436,0.85,0.743,0.86,-0.02,0.35,0.074,0.3,-0.003,0.05,0.019,0.15
Indian,-0.001,-0.01,0.005,0.1,-0.44,0.83,0.656,0.96,0.008,0.3,0.066,0.43
Pacific,0.011,0.12,0.062,0.11,-0.004,0.27,0.042,0.37,-0.618,0.89,0.839,0.92
Arctic,0,0.01,0,-0.01,0,-0.04,0,-0.02,0,0,0,-0.08
Southern,0.225,0.38,0.47,0.77,0.205,-0.09,0.373,0.79,0.277,-0.2,0.473,0.75
Stratosphere,0,0.01,0,-0.01,0,0.15,0,-0.2,0,0,0,-0.07
No origin,0.01,0.38,0.143,0.41,-0.024,0.39,0.159,0.47,-0.024,0.43,0.205,0.62
