,tot,,atl,,ind,,pac,,arc,,sou,
,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2
2010,-2.27E-01,-1.41E-01,-0.00065986,-1.73E-03,3.96E-03,1.32E-02,-0.4238551,-2.07E-01,0.00E+00,0.00E+00,1.94E-01,0.0541802
2011,-2.32E-01,-1.42E-01,-3.11E-04,-1.33E-03,2.93E-03,1.10E-02,-4.24E-01,-2.05E-01,0.00E+00,-6.15E-09,1.90E-01,5.28E-02
2012,-2.15E-01,-1.34E-01,1.04E-04,-5.69E-04,2.20E-03,9.85E-03,-4.10E-01,-1.97E-01,0.00E+00,4.31E-09,1.93E-01,5.36E-02
2013,-2.22E-01,-1.40E-01,-2.26E-04,-1.52E-03,4.90E-03,1.25E-02,-4.16E-01,-2.06E-01,0.00E+00,2.10E-07,1.90E-01,5.54E-02
2014,-0.22040699,-1.41E-01,-0.00074045,-1.50E-03,0.00283071,9.75E-03,-4.21E-01,-2.05E-01,0,1.88E-08,1.99E-01,5.64E-02
mean,-2.23E-01,-1.40E-01,-3.67E-04,-1.33E-03,3.36E-03,1.13E-02,-4.19E-01,-2.04E-01,0.00E+00,4.53E-08,1.93E-01,5.45E-02
