,tot,atl,ind,pac,arc,sou,str,una
2010,-2.53E-01,-1.41E-02,-3.74E-01,-8.05E-03,5.54E-08,1.85E-01,-4.39E-06,-4.17E-02
2011,-2.36E-01,-1.24E-02,-3.79E-01,-1.25E-04,2.95E-08,1.89E-01,-6.59E-06,-3.40E-02
2012,-2.30E-01,-1.22E-02,-3.63E-01,-5.23E-04,4.10E-08,1.80E-01,-6.35E-06,-3.47E-02
2013,-2.35E-01,-1.22E-02,-3.62E-01,-1.11E-03,-9.93E-07,1.78E-01,-6.21E-06,-3.84E-02
2014,-2.40E-01,-1.28E-02,-3.72E-01,2.29E-03,4.01E-08,1.77E-01,-6.01E-06,-3.46E-02
mean,-2.39E-01,-1.27E-02,-3.70E-01,-1.50E-03,-1.65E-07,1.82E-01,-5.91E-06,-3.67E-02
