,tot,atl,ind,pac,arc,sou
2010,-2.27E-01,-6.60E-04,3.96E-03,-4.24E-01,0.00E+00,0.19401419
2011,-2.32E-01,-3.11E-04,2.93E-03,-4.24E-01,0.00E+00,1.90E-01
2012,-2.15E-01,1.04E-04,2.20E-03,-4.10E-01,0.00E+00,1.93E-01
2013,-2.22E-01,-2.26E-04,4.90E-03,-4.16E-01,0.00E+00,1.90E-01
2014,-0.22040699,-0.00074045,0.00283071,-4.21E-01,0.00E+00,1.99E-01
mean,-2.23E-01,-3.67E-04,3.36E-03,-4.19E-01,0.00E+00,1.93E-01
