,tot,atl,ind,pac,arc,sou
2010,1.97E-02,-6.00E-02,-3.65E-05,0.00E+00,0.00E+00,7.98E-02
2011,1.82E-02,-6.47E-02,-4.41E-05,0.00E+00,0.00E+00,8.30E-02
2012,1.16E-02,-6.01E-02,-3.84E-05,0.00E+00,0.00E+00,7.17E-02
2013,1.57E-02,-6.02E-02,-3.89E-05,0.00E+00,0.00E+00,7.59E-02
2014,1.34E-02,-6.22E-02,-4.95E-05,0.00E+00,0.00E+00,7.56E-02
mean,1.57E-02,-6.14E-02,-4.15E-05,0.00E+00,0.00E+00,7.72E-02
