,tot,,atl,,ind,,pac,,arc,,sou,
,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2
2010,-1.38E-01,-8.69E-02,-2.38E-01,-1.48E-01,-6.46E-04,-1.05E-03,2.33E-03,6.93E-03,0.00E+00,-7.51E-07,0.09859927,5.49E-02
2011,-0.13173944,-0.08633529,-0.23565615,-0.14314815,-0.00049483,-0.00081816,0.00181971,6.63E-03,0.00E+00,0.00E+00,1.03E-01,0.05100073
2012,-1.39E-01,-9.43E-02,-2.29E-01,-1.54E-01,-1.85E-04,-1.95E-04,3.33E-03,8.51E-03,0.00E+00,-1.95E-08,8.70E-02,5.18E-02
2013,-1.48E-01,-8.46E-02,-2.45E-01,-1.50E-01,-1.15E-05,-7.98E-05,3.07E-03,9.19E-03,0.00E+00,0.00E+00,9.38E-02,5.58E-02
2014,-0.15498045,-0.1018554,-0.24882165,-0.16086987,-0.0006796,-0.00104307,0.00194502,0.00815672,0,0,9.26E-02,0.05190109
mean,-1.42E-01,-9.08E-02,-2.39E-01,-1.51E-01,-4.03E-04,-6.37E-04,2.50E-03,7.88E-03,0.00E+00,-1.54E-07,9.49E-02,5.31E-02
