,tot,atl,ind,pac,arc,sou
2010,3.91E-02,-4.08E-04,-6.78E-02,0.00E+00,0.00E+00,1.07E-01
2011,0.04656976,-4.73E-04,-6.65E-02,0.00E+00,0.00E+00,1.14E-01
2012,0.03634666,-5.58E-04,-7.22E-02,0.00E+00,0.00E+00,0.10914718
2013,0.03981881,-0.00067217,-0.07011818,0,0.00E+00,1.11E-01
2014,0.03485709,-6.33E-04,-7.17E-02,0.00E+00,0.00E+00,1.07E-01
mean,3.93E-02,-5.49E-04,-6.97E-02,0.00E+00,0.00E+00,1.10E-01
