2011,,,,,,,,,,,,
,Americas,,,,Africa,,,,East Asia,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean ,corr,mean,corr,mean,corr,mean,corr
total,-0.154,1,0.943,1,-0.092,1,1.145,1,0.1,1,1.53,1
Atlantic,-0.383,0.9,0.511,0.78,0.227,0.64,0.412,0.64,0.005,-0.09,0.007,-0.06
Indian,0.002,0.19,0.003,-0.16,-0.362,0.84,0.569,0.79,0.425,0.9,0.714,0.56
Pacific,0.212,0.68,0.329,0.4,0.005,0.25,0.009,0.1,-0.336,0.87,0.684,0.58
Arctic,0.004,0.06,0.006,0.18,0,0.16,0.002,-0.19,0.003,0.34,0.006,0.03
Southern,-0.001,-0.03,0.002,-0.06,0.005,0.27,0.016,-0.17,-0.001,0.24,0.009,0.09
Stratosphere,0.003,0.25,0.005,-0.02,0.002,0.06,0.003,0.33,0.001,-0.23,0.001,0.16
No origin,0.009,0.42,0.088,0.46,0.031,0.39,0.133,0.67,0.003,0.16,0.109,0.27
,,,,,,,,,,,,
,,,,,,,,,,,,
,Arctic Atlantic,,,,Arctic Indian,,,,Arctic Pacific,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr
total,0.118,1,0.819,1,0.042,1,0.285,1,0.006,1,0.68,1
Atlantic,0.213,0.6,0.424,0.91,0.013,0.6,0.034,0.2,-0.015,0.28,0.042,0.12
Indian,0.001,0.15,0.01,0.22,0.071,0.69,0.112,0.85,-0.004,0.23,0.01,0.43
Pacific,-0.026,0.49,0.084,0.36,0.001,0.41,0.005,0.11,0.14,0.62,0.287,0.92
Arctic,-0.081,0.26,0.178,0.84,-0.055,0.65,0.082,0.49,-0.107,0.3,0.238,0.93
Southern,0,nan,0,nan,0,-0.02,0,0.04,0,nan,0,nan
Stratosphere,0.002,0.42,0.017,0.69,0.001,0.56,0.004,0.01,-0.001,0.47,0.015,0.79
No origin,0.008,0.29,0.107,0.77,0.011,0.59,0.049,0.1,-0.008,0.37,0.087,0.53
,,,,,,,,,,,,
,,,,,,,,,,,,
,Southern Atlantic,,,,Southern Indian,,,,Southern Pacific,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr
total,-0.186,1,1.424,1,-0.301,1,1.365,1,-0.383,1,1.609,1
Atlantic,-0.449,0.85,0.733,0.86,-0.019,0.38,0.07,0.09,-0.004,0.26,0.019,0.28
Indian,-0.001,0.08,0.007,0.06,-0.462,0.85,0.699,0.94,0.01,0.18,0.07,0.33
Pacific,0.007,-0.03,0.054,-0.07,-0.006,0.2,0.055,0.44,-0.642,0.91,0.866,0.93
Arctic,0,-0.03,0,0.04,0,0.01,0,-0.07,0,0.03,0,-0.09
Southern,0.25,0.38,0.485,0.74,0.208,-0.05,0.386,0.85,0.275,-0.31,0.457,0.73
Stratosphere,0,0.03,0,-0.01,0,0.06,0,-0.29,0,0.06,0,-0.21
No origin,0.006,0.33,0.145,0.31,-0.023,0.37,0.156,0.34,-0.022,0.33,0.197,0.61
