,tot,atl,ind,pac,arc,sou
2010,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2011,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2012,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2013,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2014,0.00E+00,0,0,0,0.00E+00,0.00E+00
mean,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
