,tot,atl,ind,pac,arc,sou
2010,-4.04E-04,3.10E-03,0.00E+00,0.00E+00,-3.51E-03,0.00E+00
2011,1.11E-03,3.82E-03,0.00E+00,0.00E+00,-2.71E-03,0.00E+00
2012,1.94E-04,3.84E-03,0.00E+00,0.00E+00,-3.64E-03,0.00E+00
2013,-5.21E-05,3.46E-03,0.00E+00,0.00E+00,-3.51E-03,0.00E+00
2014,0.00064592,0.00372772,0,0.00E+00,-3.08E-03,0.00E+00
mean,2.98E-04,3.59E-03,0.00E+00,0.00E+00,-3.29E-03,0.00E+00
