,tot,atl,ind,pac,arc,sou,str,una
2010,-1.40E-01,-3.31E-01,1.47E-03,1.68E-01,1.57E-03,-0.00073213,0.00382892,0.01787421
2011,-0.15826244,-0.32974689,0.00147971,0.14526672,1.98E-03,-0.00074126,0.00364773,0.01985182
2012,-0.22710346,-0.3774613,0.0012306,0.13187973,0.00127659,-0.00056722,0.00340184,0.01313628
2013,-0.24000208,-0.38857955,0.00103622,0.1293596,1.00E-03,-6.54E-04,3.29E-03,1.45E-02
2014,-2.42E-01,-4.08E-01,1.28E-03,1.43E-01,1.13E-03,-2.94E-04,3.41E-03,1.72E-02
mean,-2.01E-01,-3.67E-01,1.30E-03,1.43E-01,1.39E-03,-5.98E-04,3.52E-03,1.65E-02
