,tot,atl,ind,pac,arc,sou
2010,-3.00E-03,-3.41E-03,0.00E+00,4.20E-04,0.00E+00,0.00E+00
2011,-0.00285527,-0.0031645,0,0.00030924,0.00E+00,0.00E+00
2012,-0.00394428,-4.07E-03,0.00E+00,1.25E-04,0.00E+00,0.00E+00
2013,-3.62E-03,-3.69E-03,0.00E+00,7.51E-05,0.00E+00,0.00E+00
2014,-4.28E-03,-4.34E-03,0.00E+00,6.12E-05,0.00E+00,0.00E+00
mean,-3.54E-03,-3.74E-03,0.00E+00,1.98E-04,0.00E+00,0.00E+00
