,tot,atl,ind,pac,arc,sou
2010,5.47E-02,0.00E+00,0.00E+00,-1.03E-01,0.00E+00,0.15728756
2011,0.06003981,0,0,-0.09627735,0.00E+00,1.56E-01
2012,0.05548404,0.00E+00,0.00E+00,-1.00E-01,0.00E+00,1.56E-01
2013,0.05125744,0,0,-0.10131948,0.00E+00,1.53E-01
2014,0.05728142,0.00E+00,0.00E+00,-1.02E-01,0.00E+00,1.60E-01
mean,5.58E-02,0.00E+00,0.00E+00,-1.01E-01,0.00E+00,1.56E-01
