2010,,,,,,,,,,,,
,Americas,,,,Africa,,,,East Asia,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean ,corr,mean,corr,mean,corr,mean,corr
total,-0.134,1,0.989,1,-0.105,1,1.248,1,-0.008,1,1.572,1
Atlantic,-0.382,0.88,0.526,0.71,0.249,0.76,0.458,0.71,0.006,0.24,0.008,-0.02
Indian,0.002,0.16,0.003,-0.11,-0.394,0.81,0.617,0.76,0.381,0.83,0.685,0.76
Pacific,0.230,0.71,0.354,0.48,0.006,0.25,0.012,0.34,-0.396,0.77,0.754,0.63
Arctic,0.003,0.11,0.006,0.27,-0.001,0.07,0.003,-0.10,0.002,0.29,0.005,0.13
Southern,0.000,-0.02,0.002,-0.13,0.006,0.34,0.017,0.10,0.001,0.30,0.007,-0.05
Stratosphere,0.003,0.29,0.005,0.05,0.001,0.16,0.003,0.34,0.001,0.06,0.001,-0.25
No origin,0.010,0.23,0.095,0.33,0.028,0.49,0.139,0.49,-0.003,0.30,0.111,0.20
,,,,,,,,,,,,
,,,,,,,,,,,,
,Arctic Atlantic,,,,Arctic Indian,,,,Arctic Pacific,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr
total,0.128,1,0.843,1,0.04,1,0.275,1,-0.001,1,0.707,1
Atlantic,0.220,0.65,0.437,0.90,0.015,0.61,0.038,0.11,-0.017,0.23,0.046,-0.04
Indian,0.002,0.24,0.012,0.23,0.067,0.62,0.100,0.88,-0.004,0.20,0.011,0.62
Pacific,-0.023,0.26,0.080,0.12,0.002,0.41,0.006,0.12,0.138,0.50,0.294,0.94
Arctic,-0.084,0.29,0.181,0.82,-0.056,0.55,0.082,0.67,-0.109,0.36,0.252,0.95
Southern,0.000,nan,0.000,nan,0.000,0.11,0.000,-0.01,0.000,nan,0.000,nan
Stratosphere,0.002,0.34,0.017,0.62,0.001,0.39,0.004,0.13,-0.001,0.49,0.016,0.76
No origin,0.011,0.34,0.118,0.66,0.011,0.55,0.045,0.15,-0.008,0.46,0.088,0.54
,,,,,,,,,,,,
,,,,,,,,,,,,
,Southern Atlantic,,,,Southern Indian,,,,Southern Pacific,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr
total,-0.192,1,1.458,1,-0.321,1,1.381,1,-0.374,1,1.695,1
Atlantic,-0.454,0.86,0.742,0.88,-0.022,0.45,0.082,0.39,-0.004,0.09,0.021,0.10
Indian,-0.001,0.08,0.006,0.08,-0.459,0.83,0.689,0.93,0.018,0.33,0.087,0.39
Pacific,0.008,0.08,0.055,0.12,-0.014,0.36,0.074,0.42,-0.645,0.90,0.897,0.93
Arctic,0.000,0.05,0.000,0.09,0.000,0.09,0.000,0.09,0.000,0.02,0.000,-0.05
Southern,0.249,0.41,0.506,0.76,0.203,0.09,0.366,0.73,0.276,-0.22,0.467,0.78
Stratosphere,0.000,0.04,0.000,-0.11,0.000,0.14,0.000,-0.07,0.000,-0.07,0.000,0.05
No origin,0.006,0.25,0.150,0.29,-0.029,0.46,0.170,0.31,-0.018,0.32,0.223,0.60
