,tot,atl,ind,pac,arc,sou
2010,2.45E-04,1.74E-04,-8.40E-05,0.00E+00,0.00E+00,1.54E-04
2011,3.19E-04,1.73E-04,-7.94E-05,0.00E+00,0.00E+00,2.21E-04
2012,4.34E-04,2.08E-04,-9.62E-05,0.00E+00,0.00E+00,3.22E-04
2013,0.00040518,0.00018203,-0.00010498,0.00E+00,0.00E+00,3.28E-04
2014,0.00028063,0.00018254,-1.05E-04,0.00E+00,0.00E+00,1.99E-04
mean,3.37E-04,1.84E-04,-9.38E-05,0.00E+00,0.00E+00,2.45E-04
