,tot,atl,ind,pac,arc,sou
2010,-5.36E-02,2.63E-02,-8.31E-02,2.61E-03,-1.73E-04,8.65E-04
2011,-0.05093769,2.90E-02,-8.33E-02,2.22E-03,1.16E-04,1.00E-03
2012,-4.19E-02,2.99E-02,-7.54E-02,2.52E-03,1.42E-06,1.15E-03
2013,-3.79E-02,3.10E-02,-7.25E-02,2.52E-03,-3.99E-05,1.03E-03
2014,-0.05045323,0.02785853,-0.08151127,2.30E-03,2.55E-04,6.37E-04
mean,-4.69E-02,2.88E-02,-7.92E-02,2.43E-03,3.21E-05,9.38E-04
