,tot,atl,ind,pac,arc,sou
2010,1.12E-02,0.00E+00,2.50E-02,-1.38E-02,0.00E+00,0.00E+00
2011,0.01777949,0.00E+00,3.14E-02,-1.36E-02,0.00E+00,0.00E+00
2012,0.01859739,0.00E+00,3.21E-02,-1.35E-02,0.00E+00,0.00E+00
2013,0.01503628,0.00E+00,3.01E-02,-1.50E-02,0.00E+00,0.00E+00
2014,0.0168249,0.00E+00,3.01E-02,-1.32E-02,0.00E+00,0.00E+00
mean,1.59E-02,0.00E+00,2.97E-02,-1.38E-02,0.00E+00,0.00E+00
