,tot,atl,ind,pac,arc,sou,str,una
2010,3.96E-02,5.59E-03,3.67E-01,-3.46E-01,6.82E-04,2.43E-03,7.43E-04,8.18E-03
2011,1.49E-01,4.27E-03,4.17E-01,-2.87E-01,3.01E-04,-5.81E-04,9.08E-04,1.44E-02
2012,0.2046522,0.00678507,0.44059538,-2.63E-01,9.92E-04,-0.00049656,0.00102306,1.92E-02
2013,1.64E-01,4.99E-03,4.25E-01,-2.82E-01,5.69E-04,2.58E-04,8.48E-04,1.41E-02
2014,1.39E-01,4.75E-03,3.92E-01,-2.72E-01,9.78E-04,-3.10E-04,9.05E-04,1.31E-02
mean,1.39E-01,5.28E-03,4.09E-01,-2.90E-01,7.04E-04,2.60E-04,8.85E-04,1.38E-02
