,tot,atl,ind,pac,arc,sou
2010,1.63E-03,1.52E-03,2.17E-01,-2.17E-01,7.92E-05,8.07E-04
2011,6.67E-02,7.54E-04,2.49E-01,-1.83E-01,5.95E-05,-4.91E-04
2012,1.06E-01,1.40E-03,2.63E-01,-1.59E-01,1.58E-04,4.71E-04
2013,8.00E-02,1.25E-03,2.53E-01,-1.74E-01,1.18E-04,2.64E-04
2014,6.42E-02,1.08E-03,2.27E-01,-1.65E-01,9.97E-05,6.77E-04
mean,6.36E-02,1.20E-03,2.42E-01,-1.80E-01,1.03E-04,3.46E-04
