,tot,atl,ind,pac,arc,sou
2010,-1.02E-01,-3.79E-03,-2.32E-01,-4.96E-03,0.00E+00,0.13886105
2011,-1.01E-01,-4.04E-03,-2.42E-01,-1.22E-06,0.00E+00,1.45E-01
2012,-9.32E-02,-3.68E-03,-2.28E-01,-1.56E-04,0.00E+00,1.38E-01
2013,-0.09238489,-0.00428384,-0.22485594,-9.45E-04,0.00E+00,0.13770561
2014,-0.10203974,-0.00395809,-2.34E-01,1.41E-03,0.00E+00,1.35E-01
mean,-9.81E-02,-3.95E-03,-2.32E-01,-9.30E-04,0.00E+00,1.39E-01
