,tot,,atl,,ind,,pac,,arc,,sou,
,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2
2010,0.03776327,-0.01591138,-0.01013726,-0.01199645,-0.00136638,-3.96E-03,0.05407118,0.04470366,-0.00480422,-0.04465451,0,0
2011,0.04457234,-1.33E-02,-0.00941238,-1.05E-02,-0.00142972,-3.80E-03,0.05986681,4.49E-02,-0.00445235,-4.39E-02,0,-1.35E-08
2012,0.04520677,-0.00303826,-0.00853996,-0.00956585,-0.00088002,-0.00314308,0.06002209,0.05107706,-0.00539523,-0.04140936,0,0
2013,0.0490674,-0.00405818,-0.00966883,-0.01100038,-0.00124908,-3.45E-03,0.06474254,0.05457658,-0.00475792,-0.04418241,0,0
2014,0.04309537,-0.0065554,-0.00908897,-0.01063614,-0.00134323,-3.62E-03,0.05878071,0.05054798,-0.00525313,-0.04284823,0,0
mean,4.39E-02,-8.56E-03,-9.37E-03,-1.07E-02,-1.25E-03,-3.59E-03,5.95E-02,4.92E-02,-4.93E-03,-4.34E-02,0.00E+00,-2.70E-09
