,tot,atl,ind,pac,arc,sou
2010,-1.38E-01,-2.38E-01,-6.46E-04,2.33E-03,0.00E+00,0.09859927
2011,-0.13173944,-0.23565615,-0.00049483,0.00181971,0.00E+00,0.10259976
2012,-1.39E-01,-2.29E-01,-1.85E-04,3.33E-03,0.00E+00,8.70E-02
2013,-1.48E-01,-2.45E-01,-1.15E-05,3.07E-03,0.00E+00,9.38E-02
2014,-0.15498045,-0.24882165,-0.0006796,1.95E-03,0.00E+00,9.26E-02
mean,-1.42E-01,-2.39E-01,-4.03E-04,2.50E-03,0.00E+00,9.49E-02
