,tot,atl,ind,pac,arc,sou,str,una
2010,1.31E-01,1.71E-01,1.09E-03,-2.96E-02,-3.40E-02,0,0.00251775,0.02029628
2011,0.12025835,0.16786781,0.00068624,-0.03513812,-3.11E-02,0,0.00219743,0.01577532
2012,0.11739587,0.1671479,0.00097797,-0.03460475,-3.43E-02,0,0.00186051,0.01628232
2013,0.09963594,0.16282855,0.00091724,-0.04336337,-3.63E-02,0,0.00190532,0.01368427
2014,0.10314767,0.15767747,0.00155841,-0.03811513,-3.47E-02,0.00E+00,1.82E-03,1.49E-02
mean,1.14E-01,1.65E-01,1.05E-03,-3.62E-02,-3.41E-02,0.00E+00,2.06E-03,1.62E-02
