,tot,atl,ind,pac,arc,sou,str,una
2010,-3.84E-01,-2.39E-03,1.72E-02,-6.31E-01,0.00E+00,2.48E-01,-4.62E-06,-1.57E-02
2011,-3.92E-01,-1.64E-03,1.39E-02,-6.29E-01,-6.15E-09,2.43E-01,-1.66E-06,-1.83E-02
2012,-3.70E-01,-4.65E-04,1.20E-02,-6.08E-01,4.31E-09,2.47E-01,-1.10E-06,-2.06E-02
2013,-3.80E-01,-1.74E-03,1.74E-02,-6.23E-01,2.10E-07,2.45E-01,-2.65E-06,-1.79E-02
2014,-3.79E-01,-2.24E-03,1.26E-02,-6.27E-01,1.88E-08,2.55E-01,-1.87E-06,-1.76E-02
mean,-3.81E-01,-1.70E-03,1.46E-02,-6.23E-01,4.53E-08,2.47E-01,-2.38E-06,-1.80E-02
