,tot,atl,ind,pac,arc,sou
2010,5.70E-02,8.72E-02,1.78E-04,-1.82E-02,-1.22E-02,0.00E+00
2011,6.07E-02,9.36E-02,-8.02E-05,-2.16E-02,-1.12E-02,0.00E+00
2012,5.48E-02,8.83E-02,5.76E-05,-2.05E-02,-1.31E-02,0.00E+00
2013,5.19E-02,8.85E-02,9.61E-05,-2.46E-02,-1.21E-02,0.00E+00
2014,0.04886018,0.08333076,0.00020339,-2.19E-02,-1.27E-02,0.00E+00
mean,5.46E-02,8.82E-02,9.10E-05,-2.14E-02,-1.23E-02,0.00E+00
