2013,,,,,,,,,,,,
,Americas,,,,Africa,,,,East Asia,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean ,corr,mean,corr,mean,corr,mean,corr
total,-0.23,1,0.988,1,-0.063,1,1.16,1,0.122,1,1.539,1
Atlantic,-0.434,0.92,0.583,0.86,0.245,0.76,0.436,0.71,0.006,0.21,0.009,0.16
Indian,0.001,0.15,0.002,-0.07,-0.354,0.85,0.555,0.72,0.441,0.91,0.744,0.79
Pacific,0.19,0.67,0.3,0.27,0.006,0.36,0.013,0.23,-0.33,0.76,0.659,0.51
Arctic,0.003,0.17,0.005,0.08,0,-0.04,0.003,-0.16,0.002,0.3,0.006,0.17
Southern,0,-0.06,0.001,-0.08,0.007,0.41,0.019,0.05,-0.001,0.28,0.013,-0.03
Stratosphere,0.003,0.33,0.005,-0.01,0.002,0.22,0.003,0.25,0.001,-0.24,0.001,-0.08
No origin,0.008,0.37,0.092,0.41,0.032,0.48,0.13,0.62,0.003,0.02,0.107,0.16
,,,,,,,,,,,,
,,,,,,,,,,,,
,Arctic Atlantic,,,,Arctic Indian,,,,Arctic Pacific,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr
total,0.096,1,0.805,1,0.034,1,0.269,1,0.028,1,0.761,1
Atlantic,0.207,0.5,0.398,0.85,0.012,0.61,0.031,0.17,-0.016,0.24,0.044,-0.22
Indian,0.001,0.09,0.009,0.11,0.064,0.65,0.101,0.81,-0.003,0.26,0.01,0.44
Pacific,-0.033,0.42,0.082,0.4,0.001,0.33,0.005,0.04,0.161,0.59,0.345,0.96
Arctic,-0.088,0.45,0.189,0.84,-0.054,0.66,0.083,0.59,-0.108,0.26,0.251,0.94
Southern,0,nan,0,nan,0,-0.06,0,0.16,nan,nan,0,nan
Stratosphere,0.002,0.4,0.017,0.7,0.001,0.53,0.004,0.09,-0.001,0.46,0.017,0.76
No origin,0.007,0.32,0.111,0.72,0.01,0.53,0.045,0.16,-0.004,0.49,0.094,0.51
,,,,,,,,,,,,
,,,,,,,,,,,,
,Southern Atlantic,,,,Southern Indian,,,,Southern Pacific,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr
total,-0.188,1,1.464,1,-0.289,1,1.319,1,-0.371,1.00,1.634,1.00
Atlantic,-0.448,0.86,0.768,0.88,-0.019,0.56,0.08,0.31,-0.004,0.21,0.021,0.17
Indian,0,0.08,0.006,0.17,-0.446,0.8,0.658,0.94,0.014,0.32,0.068,0.30
Pacific,0.01,0.09,0.066,-0.09,-0.003,0.38,0.039,0.19,-0.639,0.90,0.869,0.93
Arctic,0,0.05,0,-0.06,0,-0.01,0,-0.06,0.000,0.04,0.000,-0.14
Southern,0.241,0.35,0.482,0.76,0.205,0.11,0.378,0.77,0.279,-0.28,0.469,0.72
Stratosphere,0,0.04,0,0.01,0,0.17,0,-0.15,0.000,0.04,0.000,-0.05
No origin,0.009,0.25,0.142,0.32,-0.025,0.47,0.163,0.46,-0.021,0.30,0.206,0.66
