,tot,atl,ind,pac,arc,sou,str,una
2010,-7.80E-02,1.16E-01,-2.28E-01,6.01E-03,-8.66E-04,3.98E-03,0.00136726,0.02368788
2011,-0.06158012,0.11668935,-0.21652358,0.00498674,-2.35E-04,3.69E-03,1.69E-03,2.81E-02
2012,-4.32E-02,1.17E-01,-2.00E-01,5.57E-03,7.14E-05,5.02E-03,1.64E-03,2.75E-02
2013,-3.71E-02,1.17E-01,-1.97E-01,6.27E-03,1.31E-05,4.85E-03,1.71E-03,3.03E-02
2014,-6.13E-02,1.16E-01,-2.15E-01,5.46E-03,-4.75E-05,4.50E-03,1.51E-03,2.64E-02
mean,-5.62E-02,1.16E-01,-2.11E-01,5.66E-03,-2.13E-04,4.41E-03,1.58E-03,2.72E-02
