Total Atlantic Indian Pacific Arctic Southern
7.579071237095261204e-02 2.268256986179078075e-02 2.933964927173928275e-02 3.097259374475860687e-03 -2.088678242733693017e-03 -2.014805774267127560e-07 1.398331072113361342e-03 2.136178251414446241e-02
8.658033633812271812e-02 2.637002015377495900e-02 3.692326996705579123e-02 3.351766029717522660e-03 -3.890350731944746451e-03 3.290843856386915079e-06 1.753591814793874172e-03 2.207071248929553045e-02
1.010872396507488807e-01 2.996050891178437398e-02 4.132429344167241891e-02 2.427373286375396951e-03 -4.485333531873028461e-03 9.461182723838528153e-08 1.458265987562758388e-03 3.040198751286906503e-02
8.864854778196271101e-02 2.761367155901418499e-02 4.574896752535614897e-02 1.634010776022066461e-03 -1.172255883506007762e-02 -1.610918541142398020e-06 1.285184172150658725e-03 2.409257116610193789e-02
5.602873250815450928e-02 2.785360438118735307e-02 3.411166830483559204e-02 7.757821908752520531e-04 -2.199644481149051062e-02 0.000000000000000000e+00 1.144519762684618460e-03 1.414173479629695675e-02
-3.498590724539390930e-03 7.630053857041173629e-03 2.527182885722347241e-02 2.822956592555358026e-04 -3.265469863527044325e-02 1.145953771800560308e-06 8.569276700352509730e-04 -4.880876549108369156e-03
-3.475935336288173833e-02 1.470355306992274713e-03 2.736718266740287980e-02 2.375385575863618766e-04 -4.861847846857488692e-02 0.000000000000000000e+00 -4.459589102027704016e-04 -1.476866859346689931e-02
-3.067155005348064581e-02 1.182471893103110173e-03 2.543338063553992126e-02 8.378313544888877154e-04 -4.494042943570908388e-02 0.000000000000000000e+00 -4.672737007256476285e-04 -1.271540045823665345e-02
1.711296767823656390e-02 1.139577729660112837e-02 2.367537057287535593e-02 6.245687588908997072e-04 -2.148038438114542245e-02 0.000000000000000000e+00 4.106817720349714143e-04 2.483465178360864077e-03
5.711148452433960354e-02 1.910908647388486273e-02 2.639273706848695861e-02 7.461815434706496174e-04 -7.838574661318365583e-03 -2.034493807593763526e-07 9.202520132054326082e-04 1.778680020151221161e-02
6.598178207989724431e-02 1.516182203598050171e-02 3.418192946676314875e-02 1.161433513553992210e-03 -4.079898666732694433e-03 1.104182560470597318e-06 1.055502093876513597e-03 1.850331531104527916e-02
5.223416038719268240e-02 1.647923665830015177e-02 1.858224380977427370e-02 1.605038758878599538e-03 -1.816197411112160237e-03 -2.534053258815376013e-07 9.141093730419373731e-04 1.646998260363575703e-02
