,tot,,atl,,ind,,pac,,arc,,sou,
,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2,CAT1,CAT2
2010,-1.02E-01,-1.10E-01,-0.00378788,-1.03E-02,-0.23180302,-1.42E-01,-0.00495677,-3.09E-03,0.00E+00,5.54E-08,0.13886105,4.59E-02
2011,-1.01E-01,-1.01E-01,-4.04E-03,-8.33E-03,-2.42E-01,-1.37E-01,-1.22E-06,-1.24E-04,0.00E+00,2.95E-08,1.45E-01,4.43E-02
2012,-9.32E-02,-1.02E-01,-3.68E-03,-8.53E-03,-2.28E-01,-1.35E-01,-1.56E-04,-3.66E-04,0.00E+00,4.10E-08,1.38E-01,4.18E-02
2013,-0.09238489,-1.04E-01,-0.00428384,-7.90E-03,-0.22485594,-1.37E-01,-0.00094462,-1.61E-04,0,-9.93E-07,0.13770561,4.03E-02
2014,-0.10203974,-1.03E-01,-0.00395809,-8.82E-03,-0.23408968,-1.38E-01,0.00140768,8.78E-04,0,4.01E-08,0.13459576,4.24E-02
mean,-9.81E-02,-1.04E-01,-3.95E-03,-8.78E-03,-2.32E-01,-1.38E-01,-9.30E-04,-5.73E-04,0.00E+00,-1.65E-07,1.39E-01,4.30E-02
