,tot,atl,ind,pac,arc,sou,str,una
2010,4.76E-02,1.96E-02,3.04E-02,1.65E-03,-1.70E-02,1.46E-06,7.18E-04,1.23E-02
2011,5.13E-02,1.87E-02,3.34E-02,1.26E-03,-1.68E-02,5.15E-07,9.80E-04,1.38E-02
2012,3.53E-02,1.45E-02,3.02E-02,1.28E-03,-1.91E-02,-1.47E-07,8.12E-04,7.58E-03
2013,4.27E-02,1.67E-02,2.84E-02,1.48E-03,-1.64E-02,-5.88E-07,8.28E-04,1.18E-02
2014,4.31E-02,1.66E-02,3.08E-02,1.27E-03,-1.68E-02,2.32E-08,9.12E-04,1.03E-02
mean,4.40E-02,1.72E-02,3.06E-02,1.39E-03,-1.72E-02,2.53E-07,8.50E-04,1.12E-02
