,tot,atl,ind,pac,arc,sou
2010,3.78E-02,-1.01E-02,-1.37E-03,5.41E-02,-4.80E-03,0.00E+00
2011,4.46E-02,-9.41E-03,-1.43E-03,5.99E-02,-4.45E-03,0.00E+00
2012,4.52E-02,-8.54E-03,-8.80E-04,6.00E-02,-5.40E-03,0.00E+00
2013,4.91E-02,-0.00966883,-0.00124908,0.06474254,-4.76E-03,0.00E+00
2014,0.04309537,-0.00908897,-0.00134323,5.88E-02,-5.25E-03,0.00E+00
mean,4.39E-02,-9.37E-03,-1.25E-03,5.95E-02,-4.93E-03,0.00E+00
